Date,Open,High,Low,Close,Volume,Adj Close
2012-11-21,7.40,7.45,7.30,7.30,292800,1.405
2012-11-20,7.45,7.55,7.25,7.45,455900,1.434
2012-11-19,7.40,7.65,7.35,7.35,1174000,1.415
2012-11-16,7.35,7.35,7.15,7.35,961500,1.415
2012-11-15,7.70,7.85,7.10,7.45,1427300,1.434
2012-11-14,7.30,7.90,7.30,7.70,3543300,1.482
2012-11-13,6.70,7.15,6.70,7.15,1998400,1.376
2012-11-12,6.10,6.65,6.10,6.60,1928900,1.27
2012-11-09,6.10,6.10,5.95,6.00,205600,1.155
2012-11-08,6.00,6.30,6.00,6.10,717000,1.174
2012-11-07,5.40,6.25,5.10,5.95,3011100,1.145
2012-11-06,5.75,5.85,5.55,5.60,614800,1.078
2012-11-05,5.85,5.90,5.65,5.70,679300,1.097
2012-11-02,5.85,5.85,5.70,5.85,243900,1.126
2012-11-01,5.95,5.95,5.60,5.90,1750500,1.136
2012-10-31,5.90,6.15,5.85,5.85,745900,1.126
2012-10-30,5.85,5.90,5.70,5.90,215900,1.136
2012-10-29,5.80,5.80,5.65,5.80,421200,1.116
2012-10-26,5.70,5.90,5.60,5.80,610000,1.116
2012-10-25,6.15,6.15,5.80,5.80,683500,1.116
2012-10-24,6.30,6.65,6.00,6.00,2132200,1.155
2012-10-23,6.25,6.25,5.70,6.15,2826300,1.184
2012-10-22,6.15,6.30,5.85,6.15,635000,1.184
2012-10-19,6.45,6.45,5.90,6.15,1470000,1.184
2012-10-18,6.50,6.60,6.10,6.25,2586300,1.203
2012-10-17,6.85,6.85,6.50,6.50,1319700,1.251
2012-10-16,7.00,7.00,6.70,6.85,586000,1.318
2012-10-15,7.05,7.05,6.85,7.05,558400,1.357
2012-10-12,7.10,7.20,7.05,7.15,172700,1.376
2012-10-11,6.65,7.30,6.65,7.10,1072900,1.366
2012-10-10,7.10,7.10,6.55,6.70,1820600,1.289
2012-10-09,7.35,7.35,7.05,7.15,780600,1.376
2012-10-08,7.30,7.60,7.10,7.35,2915100,1.415
2012-10-05,6.25,7.40,6.20,7.10,6567000,1.366
2012-10-04,6.10,6.20,6.05,6.20,597600,1.193
2012-10-03,6.15,6.25,6.10,6.10,1387400,1.174
2012-10-02,6.30,6.30,5.90,6.15,1323600,1.184
2012-10-01,6.15,6.50,6.05,6.30,2453100,1.212
2012-09-28,5.90,6.20,5.80,6.15,1133700,1.184
2012-09-27,5.95,6.05,5.75,5.90,783400,1.136
2012-09-26,6.00,6.05,5.85,6.00,1190800,1.155
2012-09-25,5.65,6.05,5.55,6.05,1264500,1.164
2012-09-24,5.55,5.80,5.55,5.75,504100,1.107
2012-09-21,5.60,5.75,5.35,5.75,1491800,1.107
2012-09-20,5.75,5.75,5.50,5.65,1085900,1.087
2012-09-19,6.10,6.10,5.75,5.75,857900,1.107
2012-09-18,5.85,6.05,5.70,6.05,1015600,1.164
2012-09-17,6.05,6.60,5.80,5.80,3415500,1.116
2012-09-14,5.60,6.20,5.60,6.00,3813700,1.155
2012-09-13,5.00,5.65,4.90,5.50,3463400,1.059
2012-09-12,4.90,6.20,4.90,5.45,9135400,1.049
2012-09-11,4.20,4.75,4.20,4.70,868400,0.905
2012-09-10,4.04,4.20,4.02,4.20,773300,0.808
2012-09-07,4.05,4.20,4.01,4.01,1087300,0.772
2012-09-06,3.95,4.19,3.90,3.96,1194000,0.762
2012-09-05,4.08,4.08,3.84,3.95,376900,0.76
2012-09-04,3.90,4.05,3.65,4.00,599800,0.77
2012-09-03,3.80,3.90,3.80,3.90,137100,0.751
2012-08-31,3.90,3.94,3.89,3.90,36000,0.751
2012-08-30,3.94,3.95,3.89,3.90,262000,0.751
2012-08-29,4.13,4.13,3.88,3.93,895200,0.756
2012-08-28,3.93,4.15,3.85,4.13,465300,0.795
2012-08-27,3.91,3.93,3.89,3.93,468100,0.756
2012-08-24,3.90,3.94,3.89,3.93,879700,0.756
2012-08-23,3.90,3.92,3.82,3.90,749800,0.751
2012-08-22,3.61,3.89,3.55,3.79,667400,0.729
2012-08-21,3.93,3.93,3.04,3.85,2510800,0.741
2012-08-20,3.94,3.94,3.80,3.85,157000,0.741
2012-08-17,3.95,3.95,3.75,3.89,266700,0.749
2012-08-16,3.98,3.99,3.85,3.85,488800,0.741
2012-08-15,3.92,3.99,3.81,3.95,382400,0.76
2012-08-14,3.98,4.02,3.75,3.93,1327400,0.756
2012-08-13,3.95,3.96,3.93,3.96,57300,0.762
2012-08-10,3.97,4.05,3.94,3.95,736100,0.76
2012-08-09,3.95,3.99,3.70,3.97,700100,0.764
2012-08-08,4.00,4.00,3.95,3.95,210200,0.76
2012-08-07,4.03,4.03,3.91,3.93,225100,0.756
2012-08-06,4.07,4.07,3.94,4.04,555800,0.778
2012-08-03,4.00,4.05,3.85,3.95,257900,0.76
2012-08-02,4.00,4.10,3.94,4.00,675300,0.77
2012-08-01,3.99,3.99,3.80,3.95,870500,0.76
